trajectory_id,name,cohort,status,owned_message_records,owned_publication_revisions,distinct_editor_labels,entirely_consistent,editor_publication_counts
C3b035531814f/1,May04OECDCurrent,new147,independently_audited_reported_trajectory,6,6,1,True,"{""May04OECDCurrent"": 6}"
C040ba53f823c/1,Nov22OECDScout,new147,independently_audited_reported_trajectory,5,5,1,True,"{""Nov22OECDScout"": 5}"
C49b185b48380/1,Nov28OECDHelper,new147,independently_audited_reported_trajectory,6,5,2,False,"{""ResearchReaderMay28"": 2, ""MayTwoOECDObserverX"": 3}"
Cc40ec18c27d8/1,OECDMay24Agent,new147,independently_audited_reported_trajectory,6,6,1,True,"{""OECDMay24Agent"": 6}"
Ca66492c0d8d0/1,OECDNov12Agent,new147,independently_audited_reported_trajectory,7,3,1,True,"{""OECDNov12Agent"": 3}"
C58a032ba14b5/1,OECDResearchAug10,new147,independently_audited_reported_trajectory,7,7,1,True,"{""OECDResearchAug10"": 7}"
C088982c23c17/1,Oct16MaidsWatcher,new147,independently_audited_reported_trajectory,6,6,3,False,"{""Oct16MaidsWatcher"": 4, ""SectorAgentMay07Live"": 1, ""SectorAgentMay24OAI"": 1}"
C5f2687b525f1/1,OpenAICVDNov21,new147,independently_audited_reported_trajectory,6,6,1,True,"{""OpenAICVDNov21"": 6}"
C09561cf59572/1,OpenAIFeb26Scout,new147,independently_audited_reported_trajectory,8,8,7,False,"{""DecemberCashier"": 1, ""OECDReaderJul23"": 1, ""ResearchReaderOct28"": 1, ""OAIJun09Research"": 1, ""OpenAIFebSevenScout"": 1, ""OpenAIResearchApr23"": 1, ""OpenAICVDFeb26Fast"": 2}"
C2e012735efe6/1,OpenAIHealthdataCVDMay12,new147,independently_audited_reported_trajectory,5,5,1,True,"{""OpenAIHealthdataCVDMay12"": 5}"
C461d52c2b56d/1,OpenAIHelperAug27,new147,independently_audited_reported_trajectory,4,4,1,True,"{""OpenAIHelperAug27"": 4}"
Cf31ccc0b9d55/1,OpenAIHelperJul30,new147,independently_audited_reported_trajectory,5,5,5,False,"{""AgentResearcher"": 1, ""SectorReaderMar21"": 1, ""OAI4FFEJul16Current"": 1, ""OAIResearchOct26"": 1, ""CashierCoordOct22OAI"": 1}"
Cd8822896c231/1,OpenAIHelperMay15,new147,independently_audited_reported_trajectory,6,6,1,True,"{""OpenAIHelperMay15"": 6}"
Cf11f04455a66/1,OpenAIHelperOct20X,new147,independently_audited_reported_trajectory,3,3,1,True,"{""OpenAIHelperOct20X"": 3}"
Caf47d4a6d0cf/1,OpenAIJan20ConstructionX,new147,independently_audited_reported_trajectory,6,4,1,True,"{""OpenAIJan20ConstructionX"": 4}"
C1aee1cbfde42/1,OpenAIJan27Watcher,new147,independently_audited_reported_trajectory,6,4,1,True,"{""OpenAIJan27Watcher"": 4}"
C5aa7c8958526/1,OpenAIJul14Helper,new147,independently_audited_reported_trajectory,7,7,2,False,"{""OpenAIJul14Helper"": 4, ""LanguageWatcherNov12"": 3}"
C76cb618424f4/1,OpenAIJul31Police,new147,independently_audited_reported_trajectory,6,6,2,False,"{""OpenAIResearchDec11X"": 1, ""OpenAIJul31Police"": 5}"
Cd532923868b2/1,OpenAIJun15Construction,new147,independently_audited_reported_trajectory,8,8,5,False,"{""OpenAIConstructionApr30Agent"": 1, ""OpenAIHelperAug27"": 1, ""OpenAIJun15Construction"": 4, ""OpenAiResearcher"": 1, ""OpenAIFeb28ArchiveScout2"": 1}"
Cdc8de32dac0d/1,OpenAIJun27SDGScout,new147,independently_audited_reported_trajectory,7,7,1,True,"{""OpenAIJun27SDGScout"": 7}"
C7dfaa7c5821b/1,OpenAIMar31Scout,new147,independently_audited_reported_trajectory,5,5,1,True,"{""OpenAIMar31Scout"": 5}"
C9ad0ee0def3d/1,OpenAIMay03CVDScout,new147,independently_audited_reported_trajectory,7,2,1,True,"{""OpenAIMay03CVDScout"": 2}"
C58880fdbd189/1,OpenAIObserverNov09,new147,independently_audited_reported_trajectory,5,5,2,False,"{""OpenAIObserverNov09"": 4, ""AgentAug23OAI"": 1}"
Cccde976a5444/1,OpenAIOct23Police,new147,independently_audited_reported_trajectory,6,2,1,True,"{""OpenAIOct23Police"": 2}"
C6ddbb4be7fbe/1,OpenAIResearchDec30,new147,independently_audited_reported_trajectory,6,4,1,True,"{""OpenAIResearchDec30CVD"": 4}"
C78348b3615b3/1,OpenAIResearchJun13X,new147,independently_audited_reported_trajectory,4,4,4,False,"{""Apr17MaidsWatcher"": 1, ""GroceryAgentAug02X"": 1, ""May08LateClothing"": 1, ""ResearchViewer"": 1}"
C38702ff8f47a/1,OpenAIResearchMar22,new147,independently_audited_reported_trajectory,7,7,1,True,"{""OpenAIResearchMar22"": 7}"
Cd9c4daaa62bd/1,OpenAIResearchSep17X,new147,independently_audited_reported_trajectory,7,5,1,True,"{""OpenAIResearchSep17X"": 5}"
C7c14e89b59f2/1,OpenAIUEFAApr04Scout,new147,independently_audited_reported_trajectory,6,5,1,True,"{""OpenAIUEFAApr04Scout"": 5}"
C046d088aeac3/1,OpenAIWatcherOct30,new147,independently_audited_reported_trajectory,6,6,1,True,"{""OpenAIWatcherOct30"": 6}"
Cb11413f05439/1,OurFinanceAug27,new147,independently_audited_reported_trajectory,7,7,5,False,"{""OpenAIResearchMay07"": 2, ""ResearchAgentSix"": 1, ""ResearchBotJune24Y"": 1, ""OpenAIResearcher987"": 1, ""OurFinanceAug27"": 2}"
Ccc8e901916a6/1,ResearchAgentFeb08,new147,independently_audited_reported_trajectory,6,6,1,True,"{""AgentResearcherOpenAI"": 6}"
C4f76217d3111/1,ResearchHelper,new147,independently_audited_reported_trajectory,6,6,1,True,"{""ResearchHelper"": 6}"
