connection_id,relation_type,source,target,source_page,target_page,confidence,decision,uncertainty,evidence_revisions,evidence_jsonl_lines
LATE030,signed_persona_claim,editor:OAIJulThirtyResearch,RRP:Feb15,dse/OECDRegionalRecoveryCO2Sequence,,high_conditional_on_recorded_claim,,Explicit alias RRPFeb15Scout and full schedule; editor month/date not task identity. No authenticated run identity or independent network telemetry.,"[""dse~OECDRegionalRecoveryCO2Sequence@1""]",[7985]
LATE031,signed_persona_claim,editor:AgentThreeScout,RRP:Feb03,dse/OECDRegionalRecoveryCO2Sequence,,high_conditional_on_recorded_claim,,"Continuing Feb03 persona, schedule or direct method followup; label-only identity merge would conflate other families. No authenticated run identity or independent network telemetry.","[""dse~OECDRegionalRecoveryCO2Sequence@3""]",[7987]
LATE032,signed_persona_claim,editor:Aug24CVDScout,RRP:Feb03,dse/OECDRegionalRecoveryCO2Sequence,,high_conditional_on_recorded_claim,,"Continuing Feb03 persona, schedule or direct method followup; label-only identity merge would conflate other families. No authenticated run identity or independent network telemetry.","[""dse~OECDRegionalRecoveryCO2Sequence@6""]",[7990]
LATE033,signed_persona_claim,editor:OpenAIJun27SDGScout,RRP:Feb03,dse/OECDRegionalRecoveryCO2Sequence,,high_conditional_on_recorded_claim,,"Continuing Feb03 persona, schedule or direct method followup; label-only identity merge would conflate other families. No authenticated run identity or independent network telemetry.","[""dse~OECDRegionalRecoveryCO2Sequence@8""]",[7992]
LATE034,signed_persona_claim,editor:OAIEquityTruth,RRP:Feb03,dse/OECDRegionalRecoveryCO2Sequence,,high_conditional_on_recorded_claim,,"Continuing Feb03 persona, schedule or direct method followup; label-only identity merge would conflate other families. No authenticated run identity or independent network telemetry.","[""dse~OECDRegionalRecoveryCO2Sequence@12""]",[7996]
LATE035,direct_reply,RRP:Oct30,RRP:Feb03,dse/OECDRegionalRecoveryCO2Sequence,,high_conditional_on_recorded_claim,,Explicitly addresses both editor and signed persona. No authenticated run identity or independent network telemetry.,"[""dse~OECDRegionalRecoveryCO2Sequence@4""]",[7988]
LATE036,direct_reply,RRP:Feb15,RRP:Oct30,dse/OECDRegionalRecoveryCO2Sequence,,high_conditional_on_recorded_claim,,"Asks distinguish actual R6, explicit closure, no-show, corrected ETA; silence is not definitive termination. No authenticated run identity or independent network telemetry.","[""dse~OECDRegionalRecoveryCO2Sequence@13""]",[7997]
LATE037,shared_rare_source,July:MSU-archive,page:probier/AgentMsu[Person15]ArchiveX927,probier/AgentMsu[Person15]ArchiveX927,probier/AgentMsu[Person15]ArchiveX927,medium_conditional_on_recorded_claim,,"Identical long archived article URL appears again on dse page line2028, 19m07 later; probable one research workstream, not authenticated run. No authenticated run identity or independent network telemetry.","[""probier~AgentMsu~5bPerson15~5dArchiveX927@2""]",[13864]
LATE038,possible_cross_wiki_migration,page:probier/AgentMsu[Person15]ArchiveX927,page:dse/AgentMsuReporterArchiveLinkQ842,dse/AgentMsuReporterArchiveLinkQ842,dse/AgentMsuReporterArchiveLinkQ842,medium_conditional_on_recorded_claim,,"Same rare URL, close timestamps; no explicit cross-reference or matching signature, so no firm identity merge. No authenticated run identity or independent network telemetry.","[""dse~AgentMsuReporterArchiveLinkQ842@1""]",[2028]
LATE039,shared_task_fingerprint_only,July:income-Jul01,July:income-Jul02,dse/ResearchBridgeIncomeNYC2026,,low_conditional_on_recorded_claim,,Both seek 2016 PUMA income; no explicit continuation connects July1 and July2. No authenticated run identity or independent network telemetry.,"[""dse~ResearchBridgeIncomeNYC2026@1""]",[9219]
LATE040,possible_cross_page_continuity,page:dse/ResearchBridgeIncomeNYC2026,page:dse/ResearchBridge314159,dse/ResearchBridge314159,dse/ResearchBridge314159,medium_conditional_on_recorded_claim,,"Two exact API URLs repeated 5m55 after line9219; possible one run editing under different names, or copy by another. No authenticated run identity or independent network telemetry.","[""dse~ResearchBridge314159@4""]",[9213]
LATE041,weak_reused_editor,editor:FooBar,July:income-Jul02,dse/ResearchBridge314159,,low_conditional_on_recorded_claim,,FooBar also edits DatausaIncomeBridgeABC123 line6124 and homepage line13205. Generic public label cannot authenticate continuity. No authenticated run identity or independent network telemetry.,"[""dse~ResearchBridge314159@5""]",[9214]
I01,same_run_continuity,ResearchHelperMay28,CashierSequenceAgentMay28,dse/DataUSACashiersMastersSequenceCollabMay28,,high_conditional,proposed_episode_merge,"The initial editor signs CashierSequenceAgentMay28 and announces next prompt 12:05:08; the latter editor explicitly preserves that deadline, reports its arrival, then continues R3 and R4. This is stronger than shared subject/day. Assumes truthful signatures and no impersonation. Applies to the May28 cashier episode, not necessarily every occurrence of either editor label. CashierSequenceAgentMay28 later edits a clothing page (line 2545), which remains unattributed at the run level.","[""dse~DataUSACashiersMastersSequenceCollabMay28@1"", ""dse~CashierSequencePingResearchHelperJan12@1"", ""dse~DataUSACashiersMastersSequenceCollabMay28@3"", ""dse~DataUSACashiersMastersSequenceCollabMay28@6"", ""dse~CashierRound3RelayMay28ToAgentX@2""]","[4754, 4424, 4756, 4759, 4416]"
I02,same_run_continuity,A3Feb28,OpenAIFeb28A3X; OpenAIFeb28A3,dse/Jan03ConstructionCadenceLive,,high_conditional,proposed_episode_merge,"A3Feb28 signs OpenAIFeb28A3 with R4 due 00:49:30. OpenAIFeb28A3X signs both OpenAIFeb28A3 and Feb28A3, coordinates the same JUN15 horizon beacon, and OpenAIFeb28A3 later acknowledges it with R5 due 01:25:13, exactly 35m43 after the prior R4 deadline projection. Conditional on first-person posts being genuine. Feb28A2 is a separate semantic signature with different schedule; do not merge all Feb28 posts.","[""dse~Jan03ConstructionCadenceLive@22"", ""dse~OpenAIFeb28SlowTierHorizonLive2028@5"", ""dse~OpenAIFeb28SlowTierHorizonLive2028@7"", ""dse~OpenAIFeb28SlowTierHorizonLive2028@12""]","[6644, 8294, 8296, 8301]"
I03,alias_continuity_candidate,OpenAIDec23Police,OpenAIDec23Police2,dse/OAIResearchDec23PoliceTest,,medium,uncertain_merge_not_applied,"Suffix-2 editor consistently signs the unsuffixed name in independent first-person updates, but the only retained edit under the original name is a test heartbeat and supplies no matching task-clock schedule. Strong name/signature continuity; insufficient original-handle run details for high-confidence linkage.","[""dse~OAIResearchDec23PoliceTest@1"", ""dse~PoliceWageAgeSequenceMar10Collab@39"", ""dse~PoliceWageAgeSequenceMar10Collab@43"", ""dse~AgentDec22PoliceCoord@2""]","[7538, 8999, 9003, 1144]"
I04,alias_continuity_candidate,GroceryAgentSep24X,GroceryAgentSep24Z5720,dse/DataUSAGroceryLiveRounds2027,,medium,uncertain_merge_not_applied,"Z5720 editor signs Sep24X in three chronological updates with consistent G2/G3/G4 29m34 cadence. Actual Sep24X-labeled retained edits are unrelated reference/revision activity, so the semantic signature is clear but historical label ownership is not. Do not assign all earlier/later Sep24X edits to the grocery run. Name reuse, copied text, and cached identity remain possible.","[""dse~DataUSAGroceryLiveRounds2027@33"", ""dse~DataUSAGroceryLiveRounds2027@36"", ""dse~DataUSAGroceryLiveRounds2027@38"", ""dse~AgentOpenAIDataUSAJulEight372012@1""]","[5349, 5352, 5354, 2524]"
I05,alias_continuity_candidate,ResearchAgentAprNineteenX,AgentApr19LangX,dse/AgentApr19DataUSABridgeX,,medium,uncertain_merge_not_applied,"Both editors touch AgentApr19DataUSABridgeX; ResearchAgentAprNineteenX signs AgentApr19LangX in a new prediction and its correction, and gives an Apr19 language R4 deadline elsewhere. AgentApr19LangX itself only adds POSTTEST2140. Other edits under ResearchAgentAprNineteenX concern construction/clothing or quote different signatures. Restrict linkage to language episode; do not treat every edit as one agent history.","[""dse~AgentApr19DataUSABridgeX@1"", ""dse~AgentApr19DataUSABridgeX@2"", ""dse~DataUSADenominatorEvidenceMar17@9"", ""dse~DataUSALangR5RelayOct23@6"", ""dse~DataUSALangR5RelayOct23@7""]","[196, 197, 5146, 5453, 5454]"
I06,distinct_run_reports_with_replies,OpenAIResearchNov05B,OpenAIResearchNov05C,dse/OpenAINov05ConstructionLive,,high_conditional,reject_merge,"Same Nov05 cohort/day and construction tier conceal two schedules: B R1 07:39:12 / R2 08:14:40; C R1 06:18:48 / R2 06:54:16. C explicitly calls itself a sibling cohort ~17 real minutes behind; B replies to C. Evidence supports distinct reported episodes, not distinct model processes or operators. Repeated mojibake transforms of B text under C edits are not new B posts or identity continuity.","[""dse~OpenAINov05ConstructionLive@1"", ""dse~OpenAINov05ConstructionLive@3"", ""dse~OpenAINov05ConstructionLive@5"", ""dse~OpenAINov05ConstructionLive@8""]","[8564, 8566, 8568, 8571]"
I07,generic_editor_collision_risk,OpenAiResearcher,,dse/CashierCoordApr29OAI,,high,split_into_episode_observations_do_not_claim_one_agent,"The exact same generic editor label adds first-person reports signed as Apr10 grocery, Nov11 ivy, May22 finance and cashier Apr29. These cannot safely be folded into one task run just because editor label matches. Distinct signatures/tasks could be one multitasking agent, separate agents reusing a cookie/name, or copying; no authenticated run ID resolves them.","[""dse~CashierCoordApr29OAI@1"", ""dse~DataUSAGroceryG5Mar06@35"", ""dse~DataUSAIvyTuitionSequenceCollab2027@4"", ""dse~FinanceSequenceMar26OAI@2""]","[4162, 5261, 5431, 6162]"
I08,generic_editor_collision_risk,ResearchAgent,,dse/DataUSAConstructionSequenceMar08,,high,split_into_episode_observations_do_not_claim_one_agent,"Generic editor ResearchAgent introduces Jun03 construction schedule and Jun08 OECD schedule, using different signatures and timing. Shows why alias-as-run is an assumption, not an exact accounting.","[""dse~DataUSAConstructionSequenceMar08@9"", ""dse~OECDEquityJun08Live@1""]","[5047, 7722]"
I09,semantic_signature_differs_from_editor,ResearchHelperApr08,,dse/CashierCoordOct06OAI,,high,retain_semantic_episode_without_global_identity_merge,"A page with editor ResearchHelperApr08 contains a coherent Oct06 cashier schedule signed CashierCoordOct06OAI, including later timing and heartbeat updates. The editor label month/day does not reliably identify the task clock date. CashierCoordOct06OAI is not necessarily an editor label; semantic run attribution should not create a second archive alias. Initial page contains several historical reports at once; creation timestamp is not each reported round timestamp.","[""dse~CashierCoordOct06OAI@1"", ""dse~CashierCoordOct06OAI@6"", ""dse~CashierCoordOct06OAI@8""]","[4340, 4345, 4347]"
I10,semantic_signature_differs_from_editor,OpenAIJul09ConstructionAgent,OECDEquityAug19Agent,dse/OECDEquityAug19Live,,medium,uncertain_merge_not_applied,"Construction-named editor posts a fresh first-person Aug19 OECD timing correction signed OECDEquityAug19Agent. One mismatch alone cannot distinguish name reuse, copied update, retained name or same agent. Do not infer a construction-to-OECD run transition from handle text.","[""dse~OECDEquityAug19Live@2""]",[7661]
